link_url,name_link,adress,link,validated,status,document_type,document_link
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQIYBHEWM1600&activeTab=summary,Change of use (retrospective) from residential to short-term let apartment (Sui Generis).,4A Clarence Street Edinburgh EH3 5AF,23/00762/FULSTL,Thu 02 Mar 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/3017A10D41DB2C2484943DE97F17C311/pdf/23_00762_FULSTL-_01__LOCATION_PLAN_AND_FLOOR_PLAN-5763522.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQIYBHEWM1600&activeTab=summary,Change of use (retrospective) from residential to short-term let apartment (Sui Generis).,4A Clarence Street Edinburgh EH3 5AF,23/00762/FULSTL,Thu 02 Mar 2023,Awaiting Assessment,Application Form,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/629A27D4D0800A1568BCA3C6DE822428/pdf/23_00762_FULSTL-APPLICATION_FORM-5755838.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQIYBHEWM1600&activeTab=summary,Change of use (retrospective) from residential to short-term let apartment (Sui Generis).,4A Clarence Street Edinburgh EH3 5AF,23/00762/FULSTL,Thu 02 Mar 2023,Awaiting Assessment,Correspondence,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/7554408A514979DCCEDBE6E1C2324E3C/pdf/23_00762_FULSTL-DEFICIENCY_LETTER-5756137.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF909EWLON00&activeTab=summary,Change of use from residential to short term let.,21A Danube Street Edinburgh EH4 1NN,23/00715/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Neighbour Notification List,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/86EDA86C17AB7E67CEF044B3222D324F/pdf/23_00715_FULSTL--5757180.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF909EWLON00&activeTab=summary,Change of use from residential to short term let.,21A Danube Street Edinburgh EH4 1NN,23/00715/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Application Form,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/CCBBC4CFD0384B2676F9B361582160A8/pdf/23_00715_FULSTL-APPLICATION_FORM-5755161.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF909EWLON00&activeTab=summary,Change of use from residential to short term let.,21A Danube Street Edinburgh EH4 1NN,23/00715/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Application Form,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/E782519C21D9BC9EADDF3CC5F4FC10B0/pdf/23_00715_FULSTL-LAND_OWNERSHIP_CERTIFICATE-5755162.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF909EWLON00&activeTab=summary,Change of use from residential to short term let.,21A Danube Street Edinburgh EH4 1NN,23/00715/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/55453A47BAEFB1EA97DED1DB6D73312C/pdf/23_00715_FULSTL-_01__LOCATION_PLAN-5752855.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF909EWLON00&activeTab=summary,Change of use from residential to short term let.,21A Danube Street Edinburgh EH4 1NN,23/00715/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/271C27147217C529BBC75BE208DEE7A9/pdf/23_00715_FULSTL-_02__FLOOR_PLAN-5753247.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF909EWLON00&activeTab=summary,Change of use from residential to short term let.,21A Danube Street Edinburgh EH4 1NN,23/00715/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Correspondence,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/F07802E144C75DDF33D92C25DCD8964A/pdf/23_00715_FULSTL-DEFICIENCY_LETTER-5753339.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF8YXEWLO900&activeTab=summary,Change of use of residential property to short-term let (Sui Generis).,1A Palmerston Place Edinburgh EH12 5AF,23/00712/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Neighbour Notification List,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/CC690F64B04D7C6933EB617484881B41/pdf/23_00712_FULSTL--5757203.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF8YXEWLO900&activeTab=summary,Change of use of residential property to short-term let (Sui Generis).,1A Palmerston Place Edinburgh EH12 5AF,23/00712/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Drawing,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/7B7EC5F1F6410101703EE3BF0435DBAB/pdf/23_00712_FULSTL-_02__FLOOR_PLAN-5755686.pdf
https://citydev-portal.edinburgh.gov.uk/idoxpa-web/applicationDetails.do?keyVal=RQF8YXEWLO900&activeTab=summary,Change of use of residential property to short-term let (Sui Generis).,1A Palmerston Place Edinburgh EH12 5AF,23/00712/FULSTL,Wed 22 Feb 2023,Awaiting Assessment,Correspondence,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/files/E84870031E7FBD3D126A4AEF10F6F0C8/pdf/23_00712_FULSTL-DEFICIENCY_LETTER-5755228.pdf
